Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
08/13/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,TD Bank US Holding Company,NY,11235,,,Referral,08/15/2014,Closed with monetary relief,No,No,981519
06/09/2016,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,FL,33463,,,Referral,06/10/2016,Closed with explanation,Yes,No,1962808
10/19/2014,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,Prospect Mortgage,CA,92591,,,Web,10/19/2014,Closed with explanation,Yes,No,1077092
06/21/2014,Debt collection,Credit card,Communication tactics,Threatened to take legal action,,,Tate and Kirlin Assoc,VA,22701,,,Web,06/26/2014,Closed with explanation,Yes,No,905165
05/21/2015,Mortgage,Other mortgage,"Application, originator, mortgage broker",,"THIS IS A XXXX ADDENDUM TO MY DISPUTE # XXXX : XXXX ADDENDUMI know you all know what I 've presented to be true about the certificates XXXX being sold multiple and numerous times, and that XXXX XXXX XXXX, XXXX 's so-called Vice President is a fraud and will be prosecuted, who is really a vendor of XXXX. These certificates have been floating around since XX/XX/XXXX and XXXX did not modify our loan until XX/XX/XXXX ; five years later. Common sense should tell Shellpoint and XXXX that it is very possible some other entity had purchased the certificates before XXXX ; and they did and I have proof. But again, Shellpoint is only doing this to make a fast buck and well as XXXX and others Furthermore, XXXX had breach our initial modification by not reporting it in accordance with law, because it was done under the table and therefore, we would like our initial HAMP Tier 1 modification re-done because this is not our fault.. 

Thank youXXXX XXXX 
",Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",TX,774XX,,Consent provided,Web,05/22/2015,Closed with explanation,Yes,Yes,1386232
03/24/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"I disputed this debt and on XXXX the agency removed it from my credit report. This company runs under many different names. I would get letter stating again, that I owe the debt. I would write back as required within 30 days stating I do not owe the debt, and requested proof that I owe it. I never received the proof, because I do not owe it. I sent the last letter out to their address and the letter was sent back to me, the letter was requesting proof that I owed the debt. Now, again, on XX/XX/XXXX, they are once again reporting it on my credit report. Mind you that this debt is from more than 5 years ago. They are reporting it as new, when it is not. In the state of Nebraska the statute states that the statute of limitation is 4 yeas, and mine falls under that category. I have explained to them I do not owe the debt, and the debt I had, I paid to the original creditor. Also, that I never lived at the address one of the services were provided. I am tired of this company reporting to my credit, and sending me letter from their sub companies in order to obtain money I do not owe. I have once again disputed with XXXX, and have decided to file this complaint. They have shady tactics to obtain money from a debt account they purchased. Originally it was with SW Credit Systems, I disputed it with them as well, then they "" sold '' my account to XXXX XXXX, Or XXXX, and its subcompanies. I need them to stop and not to "" sell '' this account to someone else so I can go through the same thing all over again. 
",,"Southwest Credit Systems, L.P.",NE,685XX,,Consent provided,Web,03/24/2016,Closed,No,No,1848917
01/31/2014,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,"TransUnion Intermediate Holdings, Inc.",NC,28815,,,Postal mail,02/10/2014,Closed with explanation,Yes,No,695906
05/28/2016,Debt collection,Credit card,False statements or representation,Attempted to collect wrong amount,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Bank of America,NC,28110,,Consent not provided,Web,05/28/2016,Closed with monetary relief,Yes,No,1944517
03/08/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,FL,33196,,,Referral,03/12/2013,Closed with explanation,Yes,No,346929
10/11/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,"Per complaint # XXXX, as stated in previous complaint that I did not authorize credit pulls by anyone except those listed in that complaint. I also stated that I was unable to get responses from creditors, which I 'm assuming is because they did n't have my consent and therefore ca n't provide proof",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian,NV,891XX,,Consent provided,Web,10/11/2016,Closed with explanation,Yes,,2155203
11/03/2015,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,"I called the XXXX XXXX Bank and I told them someone open fraud account under my name. I also told them that I have fraud alert on my name company called me. The presonnal that I was speaking to told me that they do n't call. I think that was their fault and i think should be deleted completed. ( that is not me ) Also i have others inquiries under my nameXXXX XXXX XXXX 
",,Equifax,FL,330XX,,Consent provided,Web,11/04/2015,Closed with explanation,Yes,No,1637391
09/27/2016,Credit reporting,,Incorrect information on credit report,Public record,,,Equifax,CA,90301,Older American,,Web,09/27/2016,Closed with explanation,Yes,,2134374
07/18/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Frequent or repeated calls,,,"EOS Holdings, Inc.",CA,95121,,,Phone,07/26/2013,Closed with non-monetary relief,Yes,No,461484
01/14/2016,Mortgage,Other mortgage,Settlement process and costs,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Wells Fargo & Company,WA,98826,,,Referral,01/15/2016,Closed with explanation,Yes,No,1740297
02/18/2015,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,,,Encore Capital Group,CA,91335,,,Web,02/18/2015,Closed with non-monetary relief,Yes,No,1245798
08/25/2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,"SECURITY COLLECTION AGENCY attempted to collect a debt in XXXX through aggressive and harassing phone calls. The debt, {$170.00}, had been paid to originator in XXXX. SECURITY COLLECTION AGENCY has submitted a claim on my personal credit asserting that the debt was owed and paid off in XXXX. They seem like an utterly scummy and fraudulent firm.",Company believes it acted appropriately as authorized by contract or law,"Applied Business Services, Inc.",OR,972XX,Servicemember,Consent provided,Web,08/29/2016,Closed with explanation,Yes,No,2081280
03/25/2014,Consumer Loan,Vehicle lease,Shopping for a loan or lease,,,,PNC Bank N.A.,IN,46060,,,Web,03/25/2014,Closed with explanation,Yes,No,776469
12/12/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Arvest Bank,MA,01867,,,Referral,12/18/2013,Closed,Yes,No,631080
04/14/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"I applied for a loan on line with Amerisave Mortgage. Filled out the application was approved and lock in a 3.25 %. Immediately I was called asking for my credit card to order an appraisal on my property giving me a false sense of security..I was asking for a load of {$110.00}. My house was appraised for $ XXXX.Credit was excellent, had liquid XXXX almost a million dollars. For 2 1/2 months asked for documents after documents no end going back 3 years. This was extreme. My primary residence was XXXX XXXX and I had another address where my office was located. My immediate family lives with me at the XXXX XXXX address which is my primary residence..I feel that when I sent the XXXX packet of documents with XXXX addresses it should have been flagged and stoppedright there, and not continue on and on asking more and more document. Why did they continue for another month or so and requiring more documents. They were fined heavily by CFPB for deceptive and abusive practices. I 'm out {$400.00} for the appraisal which can not be used by any mortgage company. XXXX have been done just like I have. I want nothing to do with this company. I want my {$400.00}. back. 
",Company believes it acted appropriately as authorized by contract or law,Amerisave,TX,761XX,Older American,Consent provided,Web,04/14/2015,Closed with explanation,Yes,No,1329744
04/29/2014,Debt collection,Federal student loan,Taking/threatening an illegal action,Sued w/o proper notification of suit,,,Loan To Learn,AL,35405,"Older American, Servicemember",,Web,05/01/2014,Closed with explanation,Yes,No,829588
12/15/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Taking/threatening an illegal action,Attempted to/Collected exempt funds,,,Receivable Asset Management,TX,75042,Older American,Consent not provided,Web,12/15/2015,Closed with explanation,Yes,No,1697541
04/20/2012,Bank account or service,Checking account,Problems caused by my funds being low,,,,Bank of America,TX,75229,,,Web,04/23/2012,Closed without relief,Yes,Yes,61613
11/15/2013,Bank account or service,Checking account,Using a debit or ATM card,,,,JPMorgan Chase & Co.,LA,70808,,,Phone,11/18/2013,Closed with monetary relief,Yes,No,599845
04/23/2015,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"My wife and I have been trying to get an answer to a simple question for 6 months now : can we get a PACE loan from the county without defaulting our existing loan? 

XXXX different customer service reps have all promised resolutions with a week but none have delivered any results. Requests directly to the loan agent, "" special loans '' department, and the loan information mailing address have all been completely ignored. 

This is a simple yes or no question that apparently nobody knows the answer to. 
",,"Stearns Ventures, LLC",CA,949XX,,Consent provided,Web,04/23/2015,Closed with explanation,Yes,No,1343714
06/24/2014,Credit card,,Credit line increase/decrease,,,,Citibank,PA,15220,,,Web,06/24/2014,Closed with explanation,Yes,No,908282
11/13/2014,Credit reporting,,Incorrect information on credit report,Account terms,,,"TransUnion Intermediate Holdings, Inc.",AL,35043,Older American,,Web,11/13/2014,Closed with non-monetary relief,Yes,No,1114110
12/02/2015,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was discharged in bankruptcy,,,Ditech Financial LLC,FL,32720,,Consent not provided,Web,12/07/2015,Closed with explanation,Yes,No,1679989
09/12/2016,Bank account or service,Other bank product/service,Using a debit or ATM card,,TD Bank has a TD GO Card. They started charging inactivity fees. They reversed the fees initially and said they would be charged within 12 months. XXXX the supervisor refused to fix the fee.,,TD Bank US Holding Company,NJ,088XX,,Consent provided,Web,09/12/2016,Closed with monetary relief,Yes,No,2106691
10/16/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Citibank,SC,29464,,,Fax,10/23/2014,Closed with explanation,Yes,No,1074093
10/06/2016,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,"My name is XXXX XXXX I had a charged off XX/XX/XXXX.. from XXXX.. I only owe XXXX. I keep all my records and have found the original debt. The debt collector pressler & pressler, who bought this debt from another company : XXXX XXXX, garnished my check in XX/XX/XXXX for XXXX or more dollars & again in XX/XX/XXXX seized monies of XXXX out of my XXXX XXXX account.. Now I just received a letter from them getting ready to garnish my paycheck from my current job.. I need help.. I 've decided to call them today to speak to a lawyer and ask for a itemized detail bill of charges..",Company believes it acted appropriately as authorized by contract or law,"Pressler & Pressler, LLP",NJ,070XX,Servicemember,Consent provided,Web,10/06/2016,Closed with explanation,Yes,,2149393
08/05/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,MD,20747,,,Postal mail,08/07/2014,Closed with explanation,Yes,No,969713
09/24/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",CA,94401,,,Web,09/25/2013,Closed with explanation,Yes,No,540161
03/20/2015,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"I have a XXXX loan. 80 % with XXXX and 20 % with green tree. To refinance my loan for a lower rate I am refinancing the 80 % ( XXXX ). Green tree has asked for authorization form to release information. I signed the form and resubmited it. Green Tree has since asked us to change the verbage XXXX times on the authorization to release information. When contacting Green Tree their representatives can not help us and have no idea what to do but will send a letter. Normal quick refinancing with no money out takes 3-4 weeks, I have been waiting for 4 months all because of Gree Tree. I have no idea how this company is still in buisness. I have had several other issues with Green Tree. I am now seeking out other loan options to buy out my existing loan with Green Tree so that I will no longer have to deal with their incompitence. 
",,Ditech Financial LLC,IL,610XX,,Consent provided,Web,03/20/2015,Closed with non-monetary relief,Yes,No,1293547
07/29/2016,Debt collection,Mortgage,Taking/threatening an illegal action,Seized/Attempted to seize property,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",NY,11520,,,Postal mail,08/03/2016,Closed with explanation,Yes,No,2038276
09/25/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,"TransUnion Intermediate Holdings, Inc.",GA,30294,,Consent not provided,Web,09/25/2015,Closed with explanation,Yes,No,1580613
07/10/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CA,92078,,,Web,07/10/2013,Closed with non-monetary relief,Yes,No,453740
11/04/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,Ditech Financial LLC,NY,13208,,,Web,11/04/2014,Closed with explanation,Yes,No,1100119
08/05/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Equifax,CA,93308,,,Web,08/05/2013,Closed with non-monetary relief,Yes,No,474773
10/04/2016,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,HSBC North America Holdings Inc.,NJ,070XX,,,Web,10/04/2016,Closed with explanation,Yes,,2145484
07/14/2014,Debt collection,Medical,Disclosure verification of debt,Not given enough info to verify debt,,,"HCFS Health Care Financial Services, Inc.",KY,40216,,,Web,07/14/2014,Closed with explanation,Yes,Yes,936496
09/24/2014,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Citibank,NY,10473,,,Postal mail,09/30/2014,Closed with explanation,Yes,No,1042768
03/11/2014,Credit reporting,,Incorrect information on credit report,Public record,,,"TransUnion Intermediate Holdings, Inc.",CA,92805,,,Web,03/10/2014,Closed with explanation,Yes,No,753882
12/06/2014,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,,Encore Capital Group,CA,93286,,,Web,12/10/2014,Closed with explanation,Yes,No,1145828
11/01/2016,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Northland Group, Inc.",WI,537XX,,,Web,11/01/2016,Closed with explanation,Yes,,2188550
05/26/2016,Credit card,,Billing disputes,,,,JPMorgan Chase & Co.,OR,97367,,,Referral,06/02/2016,Closed with explanation,Yes,Yes,1943522
04/11/2016,Consumer Loan,Installment loan,Problems when you are unable to pay,,"i have a loan from a payday co. i had requested my bank to stop ach payment each mo as i have that debt added to my debt releif program. my bank told me that to stop the deduction from my bank acct i pay a fee so that was done then i also cancelled my atm card as the co had my card number as well. they still debited my acct by submiting a check they generated. my acct is now closed. im a vet my primary income deposited into my acct was from va benifits. i also emailed this co and told them i did not authorize any more deductions but it still was done. 
",,CNG Financial Corporation,CA,955XX,Servicemember,Consent provided,Web,04/13/2016,Closed with explanation,Yes,Yes,1874789
01/14/2015,Consumer Loan,Installment loan,Managing the loan or lease,,,,Bank of America,MO,63131,,,Postal mail,02/18/2015,Closed with explanation,Yes,No,1193304
04/17/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,U.S. Bancorp,GA,30534,,,Referral,04/22/2013,Closed with explanation,Yes,No,385141
09/27/2014,Credit reporting,,Incorrect information on credit report,Account terms,,,Equifax,MI,48093,,,Web,09/27/2014,Closed with non-monetary relief,Yes,Yes,1048003
07/29/2014,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt is not mine,,,Medical Business Bureau,TX,75075,,,Web,07/29/2014,Closed with explanation,Yes,Yes,957994
10/01/2012,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Synchrony Financial,GA,30114,,,Referral,10/04/2012,Closed,Yes,No,164221
06/21/2014,Student loan,Non-federal student loan,Can't repay my loan,Can't decrease my monthly payments,,,JPMorgan Chase & Co.,IN,47172,,,Web,06/21/2014,Closed with explanation,Yes,No,905253
08/20/2015,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,PNC Bank N.A.,FL,32541,"Older American, Servicemember",,Phone,09/01/2015,Closed with explanation,Yes,Yes,1528464
03/07/2013,Credit card,,Credit line increase/decrease,,,,Discover,CA,93067,,,Referral,03/11/2013,Closed with explanation,Yes,No,345521
12/29/2015,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,Bank of America,NC,28645,,Consent not provided,Web,12/30/2015,Closed with explanation,Yes,No,1721055
05/22/2014,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,"Financial Asset Management Systems, Inc.",AL,36605,,,Web,05/23/2014,Closed with explanation,Yes,No,865479
02/24/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,PNC Bank N.A.,GA,30024,,,Web,02/24/2014,Closed with non-monetary relief,Yes,No,727918
01/07/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,NH,03870,,,Referral,01/10/2013,Closed with explanation,Yes,No,223685
11/04/2015,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company chooses not to provide a public response,Experian,FL,34219,,Consent not provided,Web,11/04/2015,Closed with explanation,Yes,No,1640414
01/30/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,"Afni, Inc.",WI,53916,,,Web,01/30/2014,Closed with explanation,Yes,No,693868
01/29/2016,Debt collection,Non-federal student loan,Disclosure verification of debt,Not given enough info to verify debt,,Company believes it acted appropriately as authorized by contract or law,"Coast Professional, Inc.",WI,53001,,,Postal mail,02/01/2016,Closed with explanation,Yes,No,1765405
10/14/2016,Payday loan,Payday loan,Can't stop charges to bank account,Can't stop charges to bank account,,,"Mobiloans, LLC",NC,276XX,,,Web,10/14/2016,Untimely response,No,,2160973
07/01/2016,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,"My house flooded out causing damages that are in excess of XXXX. I am insured with XXXX XXXX. The insurance company issued a check in the amount of a little over XXXX to both the mortgage company and me. At that time it was my understanding that my mortgage company was XXXX and it was when I called to notify them of the loss at which time I was told that XXXX would simply endorse the check back to me so I could get the rapairs made. Two hours later XXXX contacted me back and told me that my mortgage had been sold to Caliber Home Loans. I then called them and told them what had happened. I was told to send them the check and that they would then send another appraiser over to make sure that XXXX XXXX had figured enough for the damages. I told them that I had agreed to do the job for what XXXX XXXX was paying to which I was informed that Caliber does not let "" homeowner '' do their own repair and that it would take up to 5 weeks for them to have it appraised and get someone over to give a bid. I told them that I was a licensed contracter and I would make the repairs myself, at this time I was told that I would NOT be paid for any repairs made. I have made all the repairs with the exception of installing the carpet and the countertops. I have put out over XXXX total into my house at this time. Caliber has told me that I would have the total check sent to me and that if I sent a self addressed pre paid envelope for over night delivery that that I would have the check in 3-5 days. That was almost a month ago. I have been told this by numerous people yet at the same time everytime I talk to someone I get a different story. Last Thursday it was requested that I send them my receipts which I did. I was told I would get a check in 3-5 business days. TODAY I was told that a check for XXXX was sent out yesterday and that it would be up to 5 weeks before another one was sent. My house has no dining room, kitchen, master bedroom, dining room or master bathroom since XX/XX/XXXX and tomorrow is XXXX XXXX. This is totally unacceptable. My original paperwork from Caliber says that the only thing they will be doing is accepting the mortgage payments and all other parts of the mortgage agreement will remain in force. XXXX policy was to endorse the check back to the homeowner and let them get the job done either by themselves or a contractor of their choosing, THAT IS WHAT CALIBER IS SUPPOSE TO DO AS WELL, however they have point blank told me personally that they own my house and that I only pay rent on it. I asked them if they had contractors come give bids on my house and they bid morel than what XXXX XXXX 's quote was what would happen and they told me they would go to XXXX XXXX for more money, I then asked them if the bids came in less than what XXXX XXXX quoted, if I got the money back and I was told "" NO, that 's our money ''. They seem to forget that I have personal losses involved as well, I have property that was damaged. I have paid out for the water mitigation and drying out, yet I get no money for that whatsoever. I 'm going on 90 days of having to live like this and put my money out of my pocket on this job, that is not right. The majority of contractors get money "" up front '' before even starting the project and if I were a "" preferred '' contractor of XXXX they would have made a single copy check to me as a contractor instead of a dual check to the contractor AND the mortgage company. I am due my money, they have received a proper invoice yet they fail to pay anything more than XXXX % when the project is at approximately XXXX %.",,"Caliber Home Loans, Inc",AK,995XX,,Consent provided,Web,07/01/2016,Closed with explanation,Yes,No,1994977
05/31/2016,Bank account or service,Checking account,Using a debit or ATM card,,"I reported fraudulent activity on my account at Huntington Bank as soon as I noticed. I reported it online and was told to go into the branch to fill out a report. I did this and was granted a provisional credit a few days later on XXXX/XXXX/16. After about a month, I went into the bank to ask when I would know if the credit was no longer provisional. The bank teller looked into my account and gave me a date about 3 weeks later when my file should have been reviewed and the decision made. A few days after this date, I talked to a representative online and was basically told the bank teller had no idea what she was talking about and the bank had 60 days to make a decision. It has now been well over 60 days and I can not get an answer regarding the status of the provisional credit.",,The Huntington National Bank,OH,436XX,,Consent provided,Web,05/31/2016,Closed with explanation,Yes,No,1947188
11/18/2015,Bank account or service,Checking account,"Account opening, closing, or management",,,,FirstBank of Puerto Rico,PR,00953,,,Phone,11/23/2015,Closed with monetary relief,Yes,No,1660997
07/22/2016,Mortgage,Reverse mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,93402,Older American,,Referral,07/25/2016,Closed with explanation,Yes,Yes,2025005
07/20/2015,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,"Bank of America had an event for Home owners in trouble with their Mortgage.I drove XXXX hrs to attend the event.My wife went from unemployment to part time to full time on her job.I am an Veteran on XXXX XXXX. The first agent we had was XXXX XXXX we explain to him we wanted to apply to the unemployment fund.We kept sending the paper work that she was receiving benefits.The Bank said we was not sending the right paper work, That was the only paper work we had.We went to my wife` retirement plan to with draw XXXX payments to catch up on the mortgage payments. Now instead of helping us we went back into the Bank` pool. case closed.We receive a {$5000.00} XXXX Bill from water and power.I went to the event where we receive XXXX XXXX for our agent we sent in all paper work that was asked for.The help we receive was visits from people from the Bank looking at our home.Our neighbor making sure we receive the letter from from Bank of America than calling someone.Someone in this neighbor works with Bank of America and is watching our Mortgage payments.We have reach out to home save California where they found a Tax Lien now payments are being made for XXXX a month. that we are making so we are waiting for them to help us.What I don`t understand is why the only help XXXX XXXX says we can receive is a Short Sale on our home. 
",Company chooses not to provide a public response,Bank of America,CA,913XX,"Older American, Servicemember",Consent provided,Web,07/20/2015,Closed with non-monetary relief,Yes,No,1475231
12/21/2014,Bank account or service,Checking account,"Account opening, closing, or management",,,,"Citizens Financial Group, Inc.",NJ,08110,,,Web,12/21/2014,Closed with monetary relief,Yes,No,1165690
06/20/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,"Fidelity National Information Services, Inc. (FNIS)",PA,19120,,,Web,06/20/2013,Closed with explanation,Yes,Yes,436999
09/16/2015,Credit card,,Closing/Cancelling account,,,Company chooses not to provide a public response,U.S. Bancorp,OR,97211,,,Referral,09/28/2015,Closed with explanation,Yes,No,1569749
04/22/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,GA,30316,,,Web,04/23/2013,Closed with explanation,Yes,No,388267
08/23/2015,Debt collection,Credit card,Cont'd attempts collect debt not owed,Debt is not mine,,Company chooses not to provide a public response,Barclays PLC,TX,75051,,Consent not provided,Web,08/23/2015,Closed with explanation,Yes,Yes,1531869
07/16/2015,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,Company chooses not to provide a public response,Wells Fargo & Company,CA,93704,,,Phone,07/27/2015,Closed with explanation,Yes,No,1472585
07/25/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,CA,90041,Servicemember,,Phone,07/29/2013,Closed with explanation,Yes,No,466836
05/13/2016,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"On XXXX XXXX an additional principal payment in the amount of {$3000.00} was sent to my lender, Ditech along with my regular payment. It was misapplied to escrow. I have repeatedly called ( XX/XX/XXXX, XX/XX/XXXX ) and submitted correction requests ( XX/XX/XXXX, XX/XX/XXXX ) through their online but can not get this corrected. I received email responses from my online requests that said someone would contact me but no one did! On XX/XX/XXXX I spoke to a supervisor who assured me it would be fixed on XX/XX/XXXX. I have checked online since then and no correction was made. This affects my interest amount and I am reluctant to send another additional principal payment until this is corrected. 
",Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,MA,018XX,Older American,Consent provided,Web,05/13/2016,Closed with explanation,Yes,Yes,1925602
